id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
60498,"Alexander Lyubimov",0.14285714285714285,EURO,0.5714285714285714,0.5961538461538461,D,2000,83,0.12857142857142856,0.37777777777777777,0.0547945205479452,0.0392156862745098,0.05063291139240506,0.05010438413361169,0.608,0.23333333333333334,0,0.038461538461538464,0.021739130434782608,0.016666666666666666,0,0,no
60618,"Paul Elliott",0,CAN,0.42857142857142855,0.5288461538461539,D,1998,128,0.43333333333333335,0.8,0.1506849315068493,0.2647058823529412,0.24050632911392406,0.09812108559498957,0.2,0,0,0,0,0,0,0,no
60620,"Morgan Warren",0,CAN,0.5,0.46153846153846156,R,1998,126,0.43333333333333335,0.6444444444444445,0.1506849315068493,0.09803921568627451,0.13291139240506328,0.16701461377870563,0.552,0.3333333333333333,0.09523809523809523,0.07692307692307693,0.08695652173913043,0.016666666666666666,0,0,no
60623,"Regan Darby",0,CAN,0.42857142857142855,0.38461538461538464,D,1998,90,0.43333333333333335,0.43333333333333335,0.0136986301369863,0.029411764705882353,0.02531645569620253,0.31941544885177453,0.44,0,0,0,0,0,0,0,no
60629,"Randy Copley",0.07142857142857142,CAN,0.5,0.5288461538461539,L,1998,40,0.1,0.7666666666666667,0.4657534246575342,0.4117647058823529,0.4810126582278481,0.40501043841336115,0.504,0.13333333333333333,0,0,0,0.13333333333333333,0,0,no
60630,"Maxym Linnik",0.07142857142857142,EURO,0.6428571428571429,0.3557692307692308,D,1998,41,0.43333333333333335,0.3888888888888889,0.0547945205479452,0.13725490196078433,0.11392405063291139,0.27139874739039666,0.552,0,0,0,0,0,0,0,no
60775,"Sergei Klyazmin",0,EURO,0.5714285714285714,0.3173076923076923,L,2000,92,0.1761904761904762,0.4111111111111111,0.0684931506849315,0.029411764705882353,0.05063291139240506,0.033402922755741124,0.552,0,0,0,0,0,0,0,no
60777,"Antoine Bergeron",0.07142857142857142,CAN,0.5,0.49038461538461536,D,2000,96,0.5761904761904761,0.35555555555555557,0.0684931506849315,0.08823529411764706,0.08860759493670886,0.08350730688935282,0.552,0,0,0,0,0,0,0,no
60793,"Aaron Van Leusen",0.07142857142857142,CAN,0.35714285714285715,0.3173076923076923,R,2000,130,0.42857142857142855,0.6333333333333333,0.2328767123287671,0.19607843137254902,0.23417721518987342,0.05010438413361169,0.512,0.2,0.09523809523809523,0.038461538461538464,0.06521739130434782,0.05,0,0,no
60902,"Scott Heffernan",0,CAN,0.7142857142857143,0.49038461538461536,D,2000,138,0.5380952380952381,0.6111111111111112,0.0684931506849315,0.09803921568627451,0.0949367088607595,0.05010438413361169,0.616,0.23333333333333334,0,0.038461538461538464,0.021739130434782608,0.03333333333333333,0,0,no
